"COD_CUENTA_RECAUDACION","BANCO","SUCURSAL","DC","CUENTA","DESCRIPCION_CUENTA","IND_ACTIVA","ISO_MONEDA","F_ULTIMA_MODIFICACION","USUARIO_ULT_MODIFICACION"
"1","0159","0001","32","3650017978","CUENTA DE LA AEAT","S","EUR","20021010110002","NULL"
"2","0159","0001","31","3649993978","CUENTA DE LA TGSS","S","EUR","20020627141013","NULL"
"21","0159","0001","30","0000000000","PRUEBA AYM","N","EUR","20030130153041","NULL"
"22","2100","3000","15","2201657141","CUENTA DE LA ORGT","S","EUR","20030114090900","NULL"
"41","2100","3000","15","2201775265","CUENTA GENERALITAT CATALUNYA","S","EUR","20070327090000","NORMA4"
"61","2100","3000","17","2201802541","AGENCIA TRIBUTARIA DE CATALUNYA","S","EUR","20080401120000","NORMA4"
"81","2038","0626","05","6000034885","CUENTA CMAD","S","EUR","20150414153959","NULL"
"102","2100","9004","02","2899274537","CUENTA AGENCIA TRIBUTARIA DE ANDALUCIA","S","EUR","20200225130000","AUBAY"
